zip,city,air,haz_cleanups,lead_paint,water
95677,Rocklin,8,4,18%,0.1%
95428,Unincorporated Mendocino County area,4,0,57%,0.2%
93223,Farmersville,13,1,67%,0.6%
96044,Unincorporated Siskiyou County area,3,0,57%,0.6%
61,Unincorporated Ventura County area,6,5,,0.6%
93043,Port Hueneme,9,32,50%,0.6%
92242,Unincorporated San Bernardino County area,10,0,26%,0.6%
95432,Unincorporated Mendocino County area,6,16,45%,0.7%
96041,Unincorporated Trinity County area,4,6,26%,0.7%
96025,Unincorporated Siskiyou County area,4,0,65%,0.7%
95501,Eureka,7,4,62%,2.0%
95661,Roseville,8,0,24%,2.1%
95765,Rocklin,8,0,9%,2.5%
95650,Loomis,8,45,19%,3.3%
96143,Kings Beach,6,0,51%,3.3%
94611,Oakland and Piedmont,9,6,49%,4.2%
94502,Alameda,9,0,16%,4.2%
94530,El Cerrito,9,5,60%,4.2%
94547,Hercules,9,11,13%,4.2%
94564,Pinole,9,11,42%,4.2%
94572,Rodeo,9,23,75%,4.2%
94577,San Leandro,9,20,67%,4.2%
94579,San Leandro,9,4,62%,4.2%
94601,Oakland,9,21,86%,4.2%
94602,Oakland,9,0,69%,4.2%
94603,Oakland,8,28,87%,4.2%
94605,Oakland,9,4,76%,4.2%
94606,Oakland,10,14,74%,4.2%
94607,Oakland,10,84,60%,4.2%
94608,Oakland and Emeryville,10,65,54%,4.2%
94609,Oakland,10,7,58%,4.2%
94610,Oakland,10,1,53%,4.2%
94612,Oakland,10,14,58%,4.2%
94613,Oakland,9,0,73%,4.2%
94618,Oakland,9,0,55%,4.2%
94621,Oakland,9,27,91%,4.2%
94702,Berkeley,9,12,65%,4.2%
94703,Berkeley,9,4,65%,4.2%
94704,Berkeley,9,3,38%,4.2%
94705,Berkeley,9,0,61%,4.2%
94706,Albany,9,11,65%,4.2%
94707,Berkeley and Kensington,9,1,60%,4.2%
94708,Berkeley,9,2,56%,4.2%
94709,Berkeley,9,11,57%,4.2%
94710,Berkeley,9,26,56%,4.2%
94720,Berkeley,9,9,,4.2%
94801,Richmond,9,48,75%,4.2%
94803,El Sobrante and Richmond,9,4,41%,4.2%
94804,Richmond,9,46,74%,4.2%
94805,Richmond,9,11,78%,4.2%
94806,San Pablo and Richmond,9,18,62%,4.2%
94501,Alameda,9,14,55%,4.2%
94506,Danville,8,0,9%,4.2%
94595,Walnut Creek,9,1,28%,4.2%
94507,Unincorporated Contra Costa County area,9,9,28%,4.3%
95466,Unincorporated Mendocino County area,6,0,56%,4.3%
94556,Moraga,9,0,27%,4.3%
94580,San Lorenzo,9,1,76%,4.4%
94578,San Leandro,9,13,69%,4.5%
39,Unincorporated Trinity County area,3,0,50%,4.5%
94526,Danville,9,7,25%,4.7%
95519,McKinleyville,6,0,39%,4.7%
96058,Unincorporated Siskiyou County area,3,0,74%,4.8%
96019,Shasta Lake,8,5,43%,4.9%
35,Unincorporated Siskiyou County area,3,0,66%,5.0%
95405,Santa Rosa,7,0,49%,5.0%
95610,Citrus Heights,8,0,40%,5.2%
48,Unincorporated Lake County area,4,15,47%,5.4%
94947,Novato,8,5,44%,5.5%
94945,Novato,8,5,42%,5.6%
94546,Castro Valley,9,5,57%,5.8%
94549,Lafayette,9,4,44%,5.9%
95521,Arcata,6,5,56%,5.9%
95550,Unincorporated Humboldt County area,5,4,29%,5.9%
94949,Novato,8,35,33%,6.2%
95981,Unincorporated Plumas County area,7,1,13%,6.2%
95662,Orangevale,8,0,38%,6.5%
94545,Hayward,9,4,63%,6.7%
94542,Hayward,8,2,47%,6.7%
95548,Unincorporated Del Norte County area,5,0,53%,6.8%
95664,Unincorporated El Dorado County area,8,0,15%,6.9%
94541,Hayward,9,9,64%,7.0%
94963,San Geronimo,8,0,54%,7.0%
95437,Fort Bragg,7,13,51%,7.0%
94619,Oakland,9,0,59%,7.2%
94544,Hayward,9,4,66%,7.2%
95630,Folsom,8,4,13%,7.2%
95746,Granite Bay,8,5,10%,7.2%
94903,San Rafael,8,0,40%,7.3%
94563,Orinda,9,5,40%,7.4%
94901,San Rafael,8,12,55%,7.4%
94904,Larkspur and Kentfield,8,0,46%,7.4%
94920,Belvedere and Tiburon,9,4,41%,7.4%
94925,Corte Madera,9,6,49%,7.4%
94939,Larkspur,8,7,43%,7.4%
94941,Mill Valley,8,0,46%,7.4%
94960,San Anselmo and Sleepy Hollow,8,11,55%,7.4%
94964,Unincorporated Marin County area,9,5,,7.4%
94965,Marin City and Sausalito,9,7,42%,7.4%
94130,San Francisco,9,143,63%,7.5%
95449,Unincorporated Mendocino County area,6,0,42%,7.5%
92397,Wrightwood,10,0,43%,7.5%
95678,Roseville,8,8,35%,7.6%
94587,Union City,9,11,32%,8.1%
92626,Costa Mesa,11,9,46%,8.1%
94538,Fremont,9,12,36%,8.3%
94555,Fremont,9,1,18%,8.3%
92315,Big Bear Lake,6,0,48%,8.3%
93526,Unincorporated Inyo County area,4,12,52%,8.4%
95565,Unincorporated Humboldt County area,6,17,57%,8.5%
94560,Newark,9,28,40%,8.5%
96114,Janesville,5,0,15%,8.6%
95987,Unincorporated Colusa County area,7,4,50%,8.6%
92656,Aliso Viejo,9,0,14%,8.7%
95971,Quincy,9,0,47%,8.8%
94536,Fremont,8,6,38%,8.9%
94583,San Ramon,9,0,19%,8.9%
90245,El Segundo,12,28,50%,9.0%
95954,Magalia,7,0,24%,9.0%
96013,Unincorporated Shasta County area,4,2,48%,9.1%
95514,Unincorporated Humboldt County area,5,0,50%,9.2%
90266,Manhattan Beach,12,7,38%,9.3%
94596,Walnut Creek,9,10,36%,9.6%
